precinct,pri_dem_CLINTON,pri_dem_O'MAILEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
ANDERSONLAKE CITY CC,35,1,19,3,6,1,36,0,0,1,0,1,0,0,19,0,54
BENTON6 BIG SANDY-7,0,0,0,2,20,0,91,0,0,0,0,15,0,0,56,0,222
BENTON6 BIG SANDY-8,0,0,0,0,0,0,6,0,0,0,0,1,0,0,1,0,4
BLOUNTEAGLETON MS GYM,81,1,51,5,61,0,180,0,0,0,2,32,0,0,176,2,240
BLOUNTSHOOKS GAP,50,0,55,7,65,1,170,1,0,0,3,36,0,0,137,0,254
BRADLEY2-2 WALKER VALLEY-4,112,0,70,10,88,0,264,4,0,1,5,64,0,3,269,0,416
BRADLEY3-2 SENIOR CENTER-4,107,1,91,16,99,2,187,0,0,1,2,58,1,2,297,0,334
BRADLEY4-1 OAK GROVE-4,3,0,4,0,1,0,3,0,0,0,0,2,0,0,10,0,22
BRADLEY4-2 MICHIGAN AVE-4,2,0,1,0,4,0,12,0,0,0,0,2,0,0,6,0,19
BRADLEY5-1 BLYTHE/BOWER-4,95,0,85,10,77,0,187,1,0,1,5,19,0,1,138,0,294
BRADLEY6-2 BLUE SPRINGS-4,21,0,25,3,37,0,61,0,0,0,1,9,0,2,71,0,119
BRADLEY6-3 WATERVILLE-4,25,1,17,2,29,0,54,1,1,0,1,7,0,2,37,1,120
BRADLEY6-4 BLACK FOX-4,8,0,7,0,16,0,17,0,0,0,1,3,0,0,20,0,47
CAMPBELL2-2 DAVIS CHAPEL,18,0,5,3,14,1,32,0,0,0,0,3,0,0,20,1,67
CHEATHAM2-2-5 EAST CHEATHAM,0,0,0,0,3,0,34,0,0,0,0,5,0,1,24,0,44
CHEATHAM2-2-6 EAST CHEATHAM,0,0,0,3,63,1,252,0,0,0,0,23,0,1,81,0,379
CHEATHAM3-1-5 PLEASANT VIEW,0,0,0,3,24,0,93,0,0,0,1,6,0,0,48,0,95
CHEATHAM3-1-6 PLEASANT VIEW,0,0,0,2,57,0,247,1,0,1,1,32,1,3,116,1,284
COFFEE17 HANDS ON SCIENCE,43,2,27,1,10,0,31,0,0,0,0,2,0,2,12,0,64
DAVIDSONABSENTEE/WRITE-INS,604,13,356,65,52,10,145,2,1,0,6,55,1,2,218,1,246
GIBSON10 TRENTON,174,5,40,2,22,2,85,0,0,0,1,8,1,0,56,1,131
GIBSON11-4 GANN,8,0,11,2,30,0,60,0,0,0,0,7,0,1,33,0,83
GIBSON3 HUMBOLDT PARK,43,2,19,3,55,0,90,1,0,1,1,12,0,0,94,1,154
GIBSON6 HUMBOLDT ARMORY,45,0,9,2,7,0,11,0,0,0,3,0,0,1,11,0,28
GRUNDYPAPER BALLOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUMPHREYS4-5 SAFE ROOM,101,0,42,1,37,0,82,1,0,0,0,16,0,0,55,0,172
JOHNSON7 HIGH SCHOOL,53,2,30,9,22,1,75,1,0,0,2,13,0,2,95,1,181
KNOX19E SOAR,90,0,23,0,1,1,10,0,0,0,0,3,0,1,12,0,22
KNOX19W SOAR,50,0,19,1,2,0,13,0,0,0,0,4,0,0,7,0,20
KNOX90 BONNY KATE,155,1,126,19,111,1,251,3,0,2,4,48,0,5,364,1,417
MACONCOUNTY FAIRGROUNDS,53,0,22,3,27,1,86,0,0,0,0,4,0,1,50,0,186
MACONCOUNTY WELCOME CENTER,27,0,16,2,26,0,105,0,0,0,2,6,0,1,45,0,211
MADISON2-3 TIGRETT MIDDLE,196,0,89,6,47,1,119,1,1,0,1,30,0,1,139,0,154
MARSHALL6 WEST HILLS,88,1,54,4,35,1,96,0,0,0,0,5,0,0,36,0,181
MAURYCOLLEGE HILL 3-1-7,0,0,0,1,2,0,23,0,0,0,0,0,0,0,9,0,25
MAURYHAMPSHIRE 7-2-7,0,0,0,1,24,0,120,0,0,0,1,6,0,0,28,0,147
MAURYMT. PLEASANT 10-1-7,0,0,0,0,3,0,4,0,0,0,0,0,0,0,1,0,5
MAURYST. CATHERINE 4-1-7,0,0,0,2,27,0,109,0,0,0,0,9,0,1,63,0,124
MAURYWEST END 1-2-7,0,0,0,3,35,0,87,0,0,0,1,19,1,0,74,0,122
MCMINNCLAXTON,26,0,13,2,33,1,110,0,0,0,1,10,0,2,52,1,204
MONROEBALLPLAY,50,1,47,20,24,1,117,2,0,2,3,4,1,1,42,1,238
MONROEBROAD ST,117,2,42,18,62,0,113,0,2,0,3,39,0,3,109,0,213
MONROEBROWN,52,1,30,7,32,2,78,0,0,0,3,24,0,1,58,0,174
MONROECOKER CREEK,29,2,15,7,37,1,120,1,0,0,4,13,0,1,79,0,155
MONROEELECTION COMMISSION,179,4,72,27,74,6,157,0,1,0,11,32,1,4,130,0,449
MONROEMADISONVILLE PRIMARY,100,5,53,19,41,3,148,2,1,0,1,10,0,1,110,0,374
MONROENOTCHEY CREEK,95,5,37,11,36,1,90,0,1,0,7,12,0,3,57,1,303
MONROERURAL VALE,36,3,25,8,32,1,82,0,1,1,2,4,0,2,29,0,155
MONROESEQUOYAH HS,133,6,74,20,54,3,237,1,0,0,9,40,1,6,155,0,475
MONROESWEETWATER,170,4,85,25,80,3,212,0,0,0,2,26,0,3,144,1,480
MONROETELLICO,137,3,45,24,74,1,217,0,1,1,13,30,0,2,176,2,556
MONROEVONORE,106,4,51,17,47,2,172,1,0,0,1,74,0,3,192,0,380
MONROEVONORE CC,28,0,21,5,26,0,53,0,0,1,1,8,0,1,52,0,130
PERRYPAPER BALLOTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUTNAM4B MONTEREY,74,1,33,2,16,1,64,0,0,0,0,5,0,0,22,1,111
RHEA1-1 S.C.N.,63,0,26,9,32,1,130,1,1,0,5,14,0,0,100,0,295
RHEA2-1 S.C.S.,74,4,33,13,51,1,121,0,0,0,6,26,0,0,71,0,230
SCOTT5-1 PINE HILL,16,1,13,1,11,0,27,0,0,0,1,1,0,1,20,0,58
SUMNER11-1 HUNTER,85,2,47,5,60,1,197,0,0,0,0,27,0,1,92,0,242
SUMNER9-1 NANNIE BERRY,195,2,151,15,106,0,329,2,0,0,1,69,0,1,282,0,404
TROUSDALEPAPER BALLOTS,25,0,2,0,0,0,7,1,0,1,0,1,0,0,0,0,4
